TLX,TLY,BLX,BLY,BRX,BRY,TRX,TRY,content,p,as_cat,chunk,cat
3,3,49,3,49,19,3,19,57 FPS,0.9971774316553194,True,0,57 FPS
2080,358,2114,358,2114,384,2080,384,TM,0.998658476641055,True,1,TM
440,356,2104,356,2104,620,440,620,ELDEN RING,0.9990395522251118,True,2,ELDEN RING
1129,1124,1432,1124,1432,1156,1129,1156,PRESS ANY BUTTON,0.7717762740985632,True,3,PRESS ANY BUTTON
886,1348,1434,1348,1434,1372,886,1372,ELDEN RINGI & 02022 BANDAI NAMCO Entertainment Inc.,0.6437648353630757,True,4,ELDEN RINGI & 02022 BANDAI NAMCO Entertainment Inc.
1448,1346,1674,1346,1674,1374,1448,1374,"@02022 FromSoftware, Inc.",0.6820942614739202,True,5,"@02022 FromSoftware, Inc."
